description_facture,code_sh_valide,imp_camcis,imp_guce,colis_camcis,colis_besc,est_fraude
70652030355,00250002,Inconnu,Inconnu,0,0,0
1,34872605,Inconnu,Inconnu,0,0,0
9681642412,50002016,Inconnu,Inconnu,0,0,0
9681642412,50002016,Inconnu,Inconnu,0,0,0
12.5,12423385,Inconnu,Inconnu,0,0,0
17.5,10335235,Inconnu,Inconnu,0,0,0
17.5,10335235,Inconnu,Inconnu,0,0,0
70652030355,00250002,Inconnu,Inconnu,0,0,0
10,34872605,Inconnu,Inconnu,0,0,0
10,24410824,Inconnu,Inconnu,0,0,0
FR104514259,70139012,Inconnu,Inconnu,0,0,0
30,15000000,Inconnu,Inconnu,0,0,0
A,28325390,Inconnu,Inconnu,0,0,0
A,01929211,Inconnu,Inconnu,0,0,0
neufs,00983458,Inconnu,Inconnu,0,0,0
neufs,00983458,Inconnu,Inconnu,0,0,0
10,33998440,Inconnu,Inconnu,0,0,0
Compresseurs,40000000,Inconnu,Inconnu,0,0,0
LEHDLA11920,00148005,Inconnu,Inconnu,0,0,0
250796706,01520006,Inconnu,Inconnu,0,0,0
NGP3326322,00080274,Inconnu,Inconnu,0,0,0
5,10514704,Inconnu,Inconnu,0,0,0
FR106243984,60170007,Inconnu,Inconnu,0,0,0
FR106243984,60170007,Inconnu,Inconnu,0,0,0
8.Responsable,00000445,Inconnu,Inconnu,0,0,0
8.Responsable,00000019,Inconnu,Inconnu,0,0,0
8.Responsable,00000019,Inconnu,Inconnu,0,0,0
SHTP50260000,00480077,Inconnu,Inconnu,0,0,0
07157963065,00010015,Inconnu,Inconnu,0,0,0
02002362194,02140004,Inconnu,Inconnu,0,0,0
A,01929211,Inconnu,Inconnu,0,0,0
30,34007088,Inconnu,Inconnu,0,0,0
0,32067510,Inconnu,Inconnu,0,0,0
45964831056,00150002,Inconnu,Inconnu,0,0,0
10,20127261,Inconnu,Inconnu,0,0,0
10,28355917,Inconnu,Inconnu,0,0,0
20,38468888,Inconnu,Inconnu,0,0,0
2600001012,90012008,Inconnu,Inconnu,0,0,0
30,30993083,Inconnu,Inconnu,0,0,0
20,30109095,Inconnu,Inconnu,0,0,0
20,30109095,Inconnu,Inconnu,0,0,0
20,30109095,Inconnu,Inconnu,0,0,0
20,30109095,Inconnu,Inconnu,0,0,0
30,34000000,Inconnu,Inconnu,0,0,0
250796706,01520006,Inconnu,Inconnu,0,0,0
MEDUFF090296,01670071,Inconnu,Inconnu,0,0,0
30,86600419,Inconnu,Inconnu,0,0,0
1,14732018,Inconnu,Inconnu,0,0,0
5,23513990,Inconnu,Inconnu,0,0,0
10,53672441,Inconnu,Inconnu,0,0,0
10,29796280,Inconnu,Inconnu,0,0,0
Compresseurs,40000000,Inconnu,Inconnu,0,0,0
neufs,00986124,Inconnu,Inconnu,0,0,0
neufs,00986124,Inconnu,Inconnu,0,0,0
30,26093844,Inconnu,Inconnu,0,0,0
20,69497499,Inconnu,Inconnu,0,0,0
1,34872605,Inconnu,Inconnu,0,0,0
10,24410824,Inconnu,Inconnu,0,0,0
10,34872605,Inconnu,Inconnu,0,0,0
10,34872605,Inconnu,Inconnu,0,0,0
30,14041292,Inconnu,Inconnu,0,0,0
10,21410638,Inconnu,Inconnu,0,0,0
257211464,01520226,Inconnu,Inconnu,0,0,0
10,92061201,Inconnu,Inconnu,0,0,0
10,92061201,Inconnu,Inconnu,0,0,0
Accessoires,11000000,Inconnu,Inconnu,0,0,0
20,41292651,Inconnu,Inconnu,0,0,0
12.5,10400000,Inconnu,Inconnu,0,0,0
03200373730,01210002,Inconnu,Inconnu,0,0,0
Marchandise Divers,85362000,Inconnu,Inconnu,0,0,0
10,44444981,Inconnu,Inconnu,0,0,0
30,12000000,Inconnu,Inconnu,0,0,0
5,16256388,Inconnu,Inconnu,0,0,0
8.Responsable,00000048,Inconnu,Inconnu,0,0,0
8.Responsable,00000048,Inconnu,Inconnu,0,0,0
8.Responsable,00000001,Inconnu,Inconnu,0,0,0
FR106243984,60170007,Inconnu,Inconnu,0,0,0
neufs,00986124,Inconnu,Inconnu,0,0,0
10,26042875,Inconnu,Inconnu,0,0,0
Compresseurs,40000000,Inconnu,Inconnu,0,0,0
Compresseurs,40000000,Inconnu,Inconnu,0,0,0
FR104514259,70139012,Inconnu,Inconnu,0,0,0
LEHDLA11920,00148005,Inconnu,Inconnu,0,0,0
10,15466834,Inconnu,Inconnu,0,0,0
Marchandise Divers,85362000,Inconnu,Inconnu,0,0,0
Marchandise Divers,85362000,Inconnu,Inconnu,0,0,0
Marchandise Divers,85362000,Inconnu,Inconnu,0,0,0
Marchandise Divers,85362000,Inconnu,Inconnu,0,0,0
Marchandise Divers,85362000,Inconnu,Inconnu,0,0,0
Marchandise Divers,85362000,Inconnu,Inconnu,0,0,0
Marchandise Divers,85362000,Inconnu,Inconnu,0,0,0
Marchandise Divers,85362000,Inconnu,Inconnu,0,0,0
Marchandise Divers,85362000,Inconnu,Inconnu,0,0,0
Marchandise Divers,85362000,Inconnu,Inconnu,0,0,0
0,38090590,Inconnu,Inconnu,0,0,0
NGP3326322,00080274,Inconnu,Inconnu,0,0,0
5,17868430,Inconnu,Inconnu,0,0,0
5,10514704,Inconnu,Inconnu,0,0,0
NGP2776989,01630427,Inconnu,Inconnu,0,0,0
HLCUANR251122110,00660200,Inconnu,Inconnu,0,0,0
HLCUANR251122110,00660200,Inconnu,Inconnu,0,0,0
Marchandise Divers,85362000,Inconnu,Inconnu,0,0,0
30,30993083,Inconnu,Inconnu,0,0,0
neufs,00983458,Inconnu,Inconnu,0,0,0
20,25000000,Inconnu,Inconnu,0,0,0
20,61071236,Inconnu,Inconnu,0,0,0
20,59748971,Inconnu,Inconnu,0,0,0
30,11541185,Inconnu,Inconnu,0,0,0
5,40559265,Inconnu,Inconnu,0,0,0
17.5,10573648,Inconnu,Inconnu,0,0,0
SHTP50260000,00480077,Inconnu,Inconnu,0,0,0
17.5,10594729,Inconnu,Inconnu,0,0,0
07157963065,00030009,Inconnu,Inconnu,0,0,0
07157963065,00010015,Inconnu,Inconnu,0,0,0
10,57604812,Inconnu,Inconnu,0,0,0
30,26139442,Inconnu,Inconnu,0,0,0
10,34575230,Inconnu,Inconnu,0,0,0
A,58645436,Inconnu,Inconnu,0,0,0
0,57441440,Inconnu,Inconnu,0,0,0
Autres,89000000,Inconnu,Inconnu,0,0,0
Autres,89000000,Inconnu,Inconnu,0,0,0
Marchandise Divers,85362000,Inconnu,Inconnu,0,0,0
8.Responsable,00000001,Inconnu,Inconnu,0,0,0
8.Responsable,00000005,Inconnu,Inconnu,0,0,0
8.Responsable,00000005,Inconnu,Inconnu,0,0,0
8.Responsable,00000019,Inconnu,Inconnu,0,0,0
8.Responsable,00000019,Inconnu,Inconnu,0,0,0
A,51122110,Inconnu,Inconnu,0,0,0
A,51122110,Inconnu,Inconnu,0,0,0
A,51122110,Inconnu,Inconnu,0,0,0
A,51122110,Inconnu,Inconnu,0,0,0
0,64381743,Inconnu,Inconnu,0,0,0
JSCROT2504301,90114006,Inconnu,Inconnu,0,0,0
20,69497499,Inconnu,Inconnu,0,0,0
A,57441440,Inconnu,Inconnu,0,0,0
10,73795892,Inconnu,Inconnu,0,0,0
A,51122110,Inconnu,Inconnu,0,0,0
25PA09336717,03500150,Inconnu,Inconnu,0,0,0
45964831056,00150002,Inconnu,Inconnu,0,0,0
0,10746831,Inconnu,Inconnu,0,0,0
10,21065281,Inconnu,Inconnu,0,0,0
10,29677997,Inconnu,Inconnu,0,0,0
10,25938124,Inconnu,Inconnu,0,0,0
10,24782210,Inconnu,Inconnu,0,0,0
A,54925222,Inconnu,Inconnu,0,0,0
10,24782210,Inconnu,Inconnu,0,0,0
2994030616,40007024,Inconnu,Inconnu,0,0,0
10,84935521,Inconnu,Inconnu,0,0,0
30,64545867,Inconnu,Inconnu,0,0,0
8.Responsable,00010059,Inconnu,Inconnu,0,0,0
10,92535131,Inconnu,Inconnu,0,0,0
Autres,30000000,Inconnu,Inconnu,0,0,0
20,40171759,Inconnu,Inconnu,0,0,0
2600001012,90012008,Inconnu,Inconnu,0,0,0
02035839683,08570010,Inconnu,Inconnu,0,0,0
20,10763666,Inconnu,Inconnu,0,0,0
COP0293399,04300066,Inconnu,Inconnu,0,0,0
30,34000000,Inconnu,Inconnu,0,0,0
30,20694969,Inconnu,Inconnu,0,0,0
30,34000000,Inconnu,Inconnu,0,0,0
SHTP50260000,00480077,Inconnu,Inconnu,0,0,0
10,22068634,Inconnu,Inconnu,0,0,0
10,22068634,Inconnu,Inconnu,0,0,0
Marchandise Divers,85362000,Inconnu,Inconnu,0,0,0
